Image 134 Metrics for Fake B: PSNR: 6.93, SSIM: nan, MSE: 0.81
Image 135 Metrics for Fake A: PSNR: 7.09, SSIM: nan, MSE: 0.78
Image 135 Metrics for Fake B: PSNR: 6.93, SSIM: nan, MSE: 0.81
Image 136 Metrics for Fake A: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 136 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 137 Metrics for Fake A: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 137 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 138 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 138 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 139 Metrics for Fake A: PSNR: 7.06, SSIM: nan, MSE: 0.79
Image 139 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 140 Metrics for Fake A: PSNR: 6.96, SSIM: nan, MSE: 0.81
Image 140 Metrics for Fake B: PSNR: 6.93, SSIM: nan, MSE: 0.81
Image 141 Metrics for Fake A: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 141 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 142 Metrics for Fake A: PSNR: 7.04, SSIM: nan, MSE: 0.79
Image 142 Metrics for Fake B: PSNR: 6.95, SSIM: nan, MSE: 0.81
Image 143 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 143 Metrics for Fake B: PSNR: 6.98, SSIM: nan, MSE: 0.80
Image 144 Metrics for Fake A: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 144 Metrics for Fake B: PSNR: 7.01, SSIM: nan, MSE: 0.80
Image 145 Metrics for Fake A: PSNR: 6.99, SSIM: nan, MSE: 0.80
Image 145 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 146 Metrics for Fake A: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 146 Metrics for Fake B: PSNR: 7.03, SSIM: nan, MSE: 0.79
Image 147 Metrics for Fake A: PSNR: 6.94, SSIM: nan, MSE: 0.81
Image 147 Metrics for Fake B: PSNR: 7.02, SSIM: nan, MSE: 0.79
Image 148 Metrics for Fake A: PSNR: 6.95, SSIM: nan, MSE: 0.81
Image 148 Metrics for Fake B: PSNR: 7.05, SSIM: nan, MSE: 0.79
Image 149 Metrics for Fake A: PSNR: 6.71, SSIM: nan, MSE: 0.85
Image 149 Metrics for Fake B: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 150 Metrics for Fake A: PSNR: 6.64, SSIM: nan, MSE: 0.87
Image 150 Metrics for Fake B: PSNR: 6.78, SSIM: nan, MSE: 0.84
Image 151 Metrics for Fake A: PSNR: 6.63, SSIM: nan, MSE: 0.87
Image 151 Metrics for Fake B: PSNR: 6.75, SSIM: nan, MSE: 0.85
Image 152 Metrics for Fake A: PSNR: 6.64, SSIM: nan, MSE: 0.87
Image 152 Metrics for Fake B: PSNR: 6.72, SSIM: nan, MSE: 0.85
Image 153 Metrics for Fake A: PSNR: 6.65, SSIM: nan, MSE: 0.86
Image 153 Metrics for Fake B: PSNR: 6.71, SSIM: nan, MSE: 0.85
Image 154 Metrics for Fake A: PSNR: 6.78, SSIM: nan, MSE: 0.84
Image 154 Metrics for Fake B: PSNR: 6.73, SSIM: nan, MSE: 0.85
Image 155 Metrics for Fake A: PSNR: 6.79, SSIM: nan, MSE: 0.84
Image 155 Metrics for Fake B: PSNR: 6.82, SSIM: nan, MSE: 0.83
Image 156 Metrics for Fake A: PSNR: 6.82, SSIM: nan, MSE: 0.83
Image 156 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 157 Metrics for Fake A: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 157 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 158 Metrics for Fake A: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 158 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 159 Metrics for Fake A: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 159 Metrics for Fake B: PSNR: 6.92, SSIM: nan, MSE: 0.81
Image 160 Metrics for Fake A: PSNR: 6.83, SSIM: nan, MSE: 0.83
Image 160 Metrics for Fake B: PSNR: 6.91, SSIM: nan, MSE: 0.81
Image 161 Metrics for Fake A: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 161 Metrics for Fake B: PSNR: 6.89, SSIM: nan, MSE: 0.82
Image 162 Metrics for Fake A: PSNR: 6.84, SSIM: nan, MSE: 0.83
Image 162 Metrics for Fake B: PSNR: 6.90, SSIM: nan, MSE: 0.82
Image 163 Metrics for Fake A: PSNR: 6.78, SSIM: nan, MSE: 0.84
Image 163 Metrics for Fake B: PSNR: 6.88, SSIM: nan, MSE: 0.82
Image 164 Metrics for Fake A: PSNR: 6.81, SSIM: nan, MSE: 0.83
Image 164 Metrics for Fake B: PSNR: 6.86, SSIM: nan, MSE: 0.82
Image 165 Metrics for Fake A: PSNR: 6.87, SSIM: nan, MSE: 0.82
Image 165 Metrics for Fake B: PSNR: 6.85, SSIM: nan, MSE: 0.83
Image 166 Metrics for Fake A: PSNR: 6.81, SSIM: nan, MSE: 0.83
Image 166 Metrics for Fake B: PSNR: 6.86, SSIM: nan, MSE: 0.82
Image 167 Metrics for Fake A: PSNR: 6.77, SSIM: nan, MSE: 0.84
